Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.590659779,0.613777138,0.572619432,0.581834976,0.637993429
Run 2,0.531803944,0.601285971,0.559404204,0.607222239,0.194438492
Run 3,0.598024135,0.625231858,0.569462642,0.612494405,0.194438492
Run 4,0.617496606,0.598699735,0.60713013,0.563381606,0.194438492
Run 5,0.522697961,0.194438492,0.632144751,0.55941362,0.194438492
Run 6,0.628844921,0.194438492,0.577170497,0.607215199,0.194438492
Run 7,0.63302906,0.629388122,0.56272391,0.596924487,0.194438492
Run 8,0.659942603,0.194438492,0.579013812,0.519222638,0.194438492
Run 9,0.608362212,0.610871181,0.604166158,0.605965628,0.63677918
Run 10,0.613759934,0.194438492,0.595452272,0.592944956,0.628232329
Mean,0.600462,0.445701,0.585929,0.584662,0.326407
