Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.601809286,0.469227743,0.588617083,0.700164945,0.681370184
Run 2,0.601809286,0.467033551,0.590709315,0.674658838,0.721498907
Run 3,0.601809286,0.449789882,0.590709315,0.672022754,0.694093744
Run 4,0.590464449,0.566487936,0.588617083,0.724122093,0.681370184
Run 5,0.601238356,0.505774785,0.588617083,0.691133581,0.721498907
Run 6,0.601809286,0.5793154,0.590709315,0.674619264,0.708299075
Run 7,0.669652016,0.524299967,0.590709315,0.724122093,0.67607781
Run 8,0.601809286,0.469594035,0.588617083,0.66238477,0.665766584
Run 9,0.601809286,0.527745064,0.588617083,0.663733885,0.72270241
Run 10,0.601809286,0.527457952,0.588617083,0.70695184,0.707680396
Mean,0.607402,0.508673,0.589454,0.689391,0.698036
